class,usage_frequency_weight,right_handed_weight,left_handed_weight,max_acceptable_count,over_count_penalty
bag,2,0,0,1,5
books,4,0,0,4,5
bookshelf,2,0,0,0,0
calendar,2,0,0,0,0
correction-tape,2,0,0,2,5
cosmetic,2,0,0,2,5
drink,3,-1,1,1,10
earphone,3,0,0,2,5
eraser,2,0,0,2,5
food,2,0,0,1,10
glasses,2,0,0,2,5
glue,2,0,0,2,5
goods,2,0,0,2,5
headset,4,0,0,2,5
keyboard-pc,5,0,0,2,5
laptop,5,0,0,2,5
mic-pc,2,0,0,3,5
monitor-pc,4,0,0,3,5
mouse-pc,5,-1,1,3,5
organizer,2,0,0,2,5
paper,2,0,0,1,10
pen,5,-1,1,3,5
pen holder,3,0,0,0,0
pencil case,3,0,0,0,0
phone,5,0,0,3,5
photo,2,0,0,2,5
post-it,2,0,0,2,5
ruler,2,0,0,2,5
scissors,2,-1,1,2,5
snack,2,1,1,1,10
speakers-pc,2,0,0,3,5
stapler,2,-1,1,2,5
stopwatch,2,0,0,2,5
tablet-pc,4,0,0,3,5
tape,2,0,0,2,5
tissue,2,0,0,1,10
tower-pc,2,0,0,3,5
trash,1,0,0,1,10
watch,2,0,0,3,5
